customer_id,residence_country,gender,age,first_join_date,residence_index,channel_entrance,activity_status,household_gross_income,saving_account,guarantees,junior_account,loans,credit_card,pension,direct_debit,employment_status,mortgage,employment_status_int,personal_income,current_loan_amount,credit_score,customer_segment_model,years_calc,total_products_owned,junior_guarantee
15891,ES,0,59,2020-07-28,Y,KAT,1,140068.08000000002,0,0,0,0,0,0,0,N,0,1,95623.85,0.0,850,0-1 year,0,0,0
15899,ES,1,57,2000-01-16,Y,KAT,1,130835.63999999998,0,0,0,0,0,1,1,B,0,0,74198.6,0.0,850,5+ years,20,2,0
15900,ES,1,48,2000-01-16,Y,KAT,1,105327.03,0,0,0,0,0,0,1,B,0,0,69371.62,0.0,850,5+ years,20,1,0
15902,ES,0,57,2000-01-16,Y,KAT,1,230408.25,0,0,0,0,0,0,0,B,0,0,212843.79,0.0,850,5+ years,20,0,0
15906,ES,0,55,2006-02-16,Y,KAT,1,81005.49,0,0,0,0,0,0,1,N,1,1,42062.51,264424.96,726,5+ years,14,1,0
15910,ES,1,53,2000-01-16,Y,KAT,0,77912.91,0,0,0,0,0,0,0,B,0,0,58359.99,0.0,696,5+ years,20,0,0
15915,ES,1,56,2000-07-21,Y,KAT,0,331242.63,0,0,0,0,0,0,0,N,0,1,195877.12,0.0,730,5+ years,20,0,0
15916,ES,0,54,2000-01-16,Y,KAT,1,465589.68,0,0,0,0,1,1,1,B,0,0,306678.08,0.0,850,5+ years,20,3,0
15918,ES,0,50,2000-01-16,Y,KAT,1,298795.08,0,0,0,1,1,0,1,B,1,0,180471.55,2190254.57,635,5+ years,20,3,0
15919,ES,1,55,2000-01-16,Y,KAT,1,318796.59,0,0,0,0,0,0,1,B,0,0,240476.42,0.0,850,5+ years,20,1,0
15923,ES,1,49,2000-01-16,Y,KAT,1,279663.69,0,0,0,0,0,0,1,B,0,0,159157.48,0.0,850,5+ years,20,1,0
15924,ES,1,52,2000-01-16,Y,KAT,1,130903.68,0,0,0,0,0,0,1,B,0,0,98050.49,0.0,850,5+ years,20,1,0
15928,ES,0,49,2000-01-16,Y,KAT,1,263023.98,0,0,0,0,0,0,0,B,0,0,165221.78,0.0,850,5+ years,20,0,0
15930,ES,0,51,2001-01-24,Y,KAT,1,246128.34,0,0,0,0,0,1,0,N,0,1,222592.53,0.0,850,5+ years,19,1,0
15939,ES,0,56,2000-07-18,Y,KAT,1,232954.74,0,0,0,0,0,0,1,N,1,1,228130.85,2096955.48,755,5+ years,20,1,0
15940,ES,1,59,2000-01-16,Y,KAT,1,305260.56,0,0,0,0,0,0,1,B,0,0,185690.3,0.0,850,5+ years,20,1,0
15941,ES,0,58,2000-03-12,Y,KAT,0,305260.56,0,0,0,0,0,0,0,N,0,1,224097.67,0.0,730,5+ years,20,0,0
15943,ES,1,50,2000-01-16,Y,KAT,1,89525.1,0,0,0,0,1,0,1,B,1,0,83414.35,488795.42,739,5+ years,20,2,0
15944,ES,1,52,2000-01-16,Y,KAT,1,256145.49,0,0,0,0,1,0,1,B,0,0,199534.45,0.0,850,5+ years,20,2,0
15945,ES,0,48,2003-11-16,Y,KAT,0,140068.08000000002,0,0,0,0,0,0,0,N,0,1,116880.51,0.0,730,5+ years,17,0,0
15947,ES,1,57,2000-01-16,Y,KAT,1,321687.33,0,0,0,0,0,1,0,B,0,0,218074.55,0.0,850,5+ years,20,1,0
15948,ES,0,58,2003-12-29,Y,KAT,1,321687.33,0,0,0,0,0,1,0,N,0,1,303656.16,0.0,850,5+ years,17,1,0
15951,ES,0,58,2000-02-15,Y,KAT,1,141979.26,0,0,0,0,1,1,0,N,0,1,94995.14,0.0,850,5+ years,20,2,0
15956,ES,1,50,2000-01-16,Y,KAT,1,176110.98,0,0,0,0,0,0,1,B,0,0,121938.85,0.0,850,5+ years,20,1,0
15958,ES,0,51,2003-11-23,Y,KAT,1,188526.42,0,0,0,0,0,1,0,N,0,1,179903.95,0.0,850,5+ years,17,1,0
15961,ES,1,51,2000-01-16,Y,KAT,0,216169.95,0,0,0,0,0,0,0,B,0,0,114079.49,0.0,730,5+ years,20,0,0
15962,ES,1,52,2000-01-16,Y,KAT,1,146947.74,0,0,0,0,1,0,1,B,0,0,144535.58,0.0,850,5+ years,20,2,0
15967,ES,1,50,2000-01-16,Y,KAT,1,419440.47,0,0,0,0,1,0,1,B,0,0,287689.06,0.0,850,5+ years,20,2,0
15969,ES,0,55,2000-01-16,Y,KAT,1,771167.16,0,0,0,0,0,0,1,B,0,0,618674.62,0.0,850,5+ years,20,1,0
15977,ES,1,54,2000-01-16,Y,KAT,1,385013.28,0,0,0,0,0,0,0,B,1,0,334384.26,636419.94,730,5+ years,20,0,0
15978,ES,0,55,2000-07-17,Y,KAT,1,385013.28,0,0,0,0,0,1,1,N,0,1,248622.77,0.0,850,5+ years,20,2,0
15979,ES,0,49,2000-01-16,Y,KAT,1,267601.98,0,0,0,0,1,0,1,B,0,0,197101.82,0.0,850,5+ years,20,2,0
15982,ES,1,57,2000-01-16,Y,KAT,1,493081.8000000001,0,0,0,0,1,0,1,B,0,0,425071.55,0.0,850,5+ years,20,2,0
15983,ES,1,47,2000-01-16,Y,KAT,1,170031.78,0,0,0,0,1,0,1,B,0,0,120904.85,0.0,850,5+ years,20,2,0
15984,ES,0,55,2003-03-24,Y,KAT,0,484414.65,0,0,0,0,0,0,0,N,0,1,282587.02,0.0,730,5+ years,17,0,0
15986,ES,0,59,2002-11-20,Y,KAT,1,183621.96,0,0,0,0,1,0,0,N,0,1,95149.42,0.0,850,5+ years,18,1,0
